[2018-09-06 11:06:42] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//span[@class='alert-close-zhaopin']"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"73450f03-5b0d-4c03-aef2-22d5787205ee"}}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:42] remote_connection.py [line:486] [DEBUG]  GET http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/73450f03-5b0d-4c03-aef2-22d5787205ee/displayed {"id": "73450f03-5b0d-4c03-aef2-22d5787205ee"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value":true}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:42] remote_connection.py [line:486] [DEBUG]  GET http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/73450f03-5b0d-4c03-aef2-22d5787205ee/enabled {"id": "73450f03-5b0d-4c03-aef2-22d5787205ee"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value":true}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:42] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/73450f03-5b0d-4c03-aef2-22d5787205ee/click {"id": "73450f03-5b0d-4c03-aef2-22d5787205ee"}
[2018-09-06 11:06:42] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:42] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:43] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//a[@id='exists']"}
[2018-09-06 11:06:43] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"7ec4252b-d772-49c6-bfc7-759cbd11b699"}}'
[2018-09-06 11:06:43] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:43] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//a[@id='update_pwd']"}
[2018-09-06 11:06:43] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"74ac415b-94c3-4a38-b686-87f81d278939"}}'
[2018-09-06 11:06:43] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:43] credit_login.py [line:43] [INFO]  User: a123 login system successfully!
[2018-09-06 11:06:43] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//a[@id='exists']"}
[2018-09-06 11:06:43] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"7ec4252b-d772-49c6-bfc7-759cbd11b699"}}'
[2018-09-06 11:06:43] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:43] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/7ec4252b-d772-49c6-bfc7-759cbd11b699/click {"id": "7ec4252b-d772-49c6-bfc7-759cbd11b699"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:44] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//div[@id='outsideAlert-zhaopin']"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"0d7663ec-acbe-4738-b25c-0a20afb91dc0"}}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:44] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//span[@class='alert-close-zhaopin']"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"eb782c6f-e653-40c4-86f0-8c62264cf199"}}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:44] remote_connection.py [line:486] [DEBUG]  GET http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/eb782c6f-e653-40c4-86f0-8c62264cf199/displayed {"id": "eb782c6f-e653-40c4-86f0-8c62264cf199"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value":true}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:44] remote_connection.py [line:486] [DEBUG]  GET http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/eb782c6f-e653-40c4-86f0-8c62264cf199/enabled {"id": "eb782c6f-e653-40c4-86f0-8c62264cf199"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value":true}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:44] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element/eb782c6f-e653-40c4-86f0-8c62264cf199/click {"id": "eb782c6f-e653-40c4-86f0-8c62264cf199"}
[2018-09-06 11:06:44] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:44] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:45] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f/element {"using": "xpath", "value": "//a[@id='zh_click_s']"}
[2018-09-06 11:06:45] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"a55b6058-7c21-4800-b0a5-3a77adfc5b6c"}}'
[2018-09-06 11:06:45] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:45] credit_login.py [line:52] [INFO]  User: a123 logout system successfully!
[2018-09-06 11:06:45] remote_connection.py [line:486] [DEBUG]  DELETE http://127.0.0.1:53638/session/1aa8efd4-6bbf-4282-95ae-dca63ba1098f {}
[2018-09-06 11:06:47] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:47] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:50] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53735/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "firefox", "acceptInsecureCerts": true}}, "desiredCapabilities": {"browserName": "firefox", "acceptInsecureCerts": true, "marionette": true}}
[2018-09-06 11:06:54] remote_connection.py [line:543] [DEBUG]  b'{"value": {"sessionId":"b894cc4f-f179-4318-88b8-0fae83cba075","capabilities":{"acceptInsecureCerts":true,"browserName":"firefox","browserVersion":"61.0.1","moz:accessibilityChecks":false,"moz:headless":false,"moz:processID":8572,"moz:profile":"C:\\\\Users\\\\Administrator\\\\AppData\\\\Local\\\\Temp\\\\rust_mozprofile.pfaQeLZJrNRt","moz:useNonSpecCompliantPointerOrigin":false,"moz:webdriverClick":true,"pageLoadStrategy":"normal","platformName":"windows_nt","platformVersion":"6.1","rotatable":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000}}}}'
[2018-09-06 11:06:54] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:54] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53735/session/b894cc4f-f179-4318-88b8-0fae83cba075/window/maximize {}
[2018-09-06 11:06:54] remote_connection.py [line:543] [DEBUG]  b'{"value": {"height":840,"width":1550,"x":-7,"y":-7}}'
[2018-09-06 11:06:54] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:54] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53735/session/b894cc4f-f179-4318-88b8-0fae83cba075/url {"url": "http://www.xycq.gov.cn/"}
[2018-09-06 11:06:56] remote_connection.py [line:543] [DEBUG]  b'{"value": {}}'
[2018-09-06 11:06:56] remote_connection.py [line:574] [DEBUG]  Finished Request
[2018-09-06 11:06:56] remote_connection.py [line:486] [DEBUG]  POST http://127.0.0.1:53735/session/b894cc4f-f179-4318-88b8-0fae83cba075/element {"using": "xpath", "value": "//div[@id='outsideAlert-zhaopin']"}
[2018-09-06 11:06:56] remote_connection.py [line:543] [DEBUG]  b'{"value":{"element-6066-11e4-a52e-4f735466cecf":"a857cf09-4430-4953-a130-f6c7c1a45170"}}'
[2018-09-06 11:06:56] remote_connection.py [line:574] [DEBUG]  Finished Request
